"layerID","from","to","gender.from"
1,16,11,"female"
1,16,12,"female"
1,16,14,"female"
1,16,15,"female"
1,16,17,"female"
1,16,19,"female"
1,16,20,"female"
1,16,21,"female"
1,16,22,"female"
1,16,23,"female"
1,16,24,"female"
1,16,26,"female"
1,17,1,"female"
1,17,11,"female"
1,17,12,"female"
1,17,13,"female"
1,17,14,"female"
1,17,15,"female"
1,17,16,"female"
1,17,19,"female"
1,17,24,"female"
1,17,26,"female"
1,17,28,"female"
1,17,29,"female"
1,18,8,"female"
1,18,9,"female"
1,18,13,"female"
1,18,16,"female"
1,18,25,"female"
1,19,14,"female"
1,19,15,"female"
1,19,16,"female"
1,19,17,"female"
1,19,18,"female"
1,19,20,"female"
1,19,21,"female"
1,19,22,"female"
1,19,23,"female"
1,19,24,"female"
1,19,26,"female"
1,19,27,"female"
1,20,2,"female"
1,20,5,"female"
1,20,11,"female"
1,20,13,"female"
1,20,14,"female"
1,20,15,"female"
1,20,16,"female"
1,20,19,"female"
1,20,21,"female"
1,20,22,"female"
1,20,23,"female"
1,20,24,"female"
1,20,25,"female"
1,20,26,"female"
1,20,27,"female"
1,21,1,"female"
1,21,2,"female"
1,21,5,"female"
1,21,11,"female"
1,21,14,"female"
1,21,16,"female"
1,21,19,"female"
1,21,20,"female"
1,21,22,"female"
1,21,23,"female"
1,22,2,"female"
1,22,5,"female"
1,22,11,"female"
1,22,14,"female"
1,22,15,"female"
1,22,16,"female"
1,22,19,"female"
1,22,20,"female"
1,22,21,"female"
1,22,23,"female"
1,22,26,"female"
1,22,27,"female"
1,22,29,"female"
1,23,14,"female"
1,23,15,"female"
1,23,16,"female"
1,23,19,"female"
1,23,20,"female"
1,23,21,"female"
1,23,22,"female"
1,23,25,"female"
1,23,26,"female"
1,23,27,"female"
1,23,29,"female"
1,24,13,"female"
1,24,14,"female"
1,24,15,"female"
1,24,16,"female"
1,24,17,"female"
1,24,18,"female"
1,24,19,"female"
1,24,20,"female"
1,24,21,"female"
1,24,22,"female"
1,24,23,"female"
1,24,25,"female"
1,24,26,"female"
1,24,27,"female"
1,24,28,"female"
1,24,29,"female"
1,25,8,"female"
1,25,9,"female"
1,25,11,"female"
1,25,13,"female"
1,25,18,"female"
1,26,14,"female"
1,26,15,"female"
1,26,16,"female"
1,26,19,"female"
1,26,20,"female"
1,26,22,"female"
1,26,23,"female"
1,26,27,"female"
1,27,14,"female"
1,27,17,"female"
1,27,19,"female"
1,27,20,"female"
1,27,21,"female"
1,27,22,"female"
1,27,26,"female"
1,27,28,"female"
1,27,29,"female"
1,28,2,"female"
1,28,4,"female"
1,28,5,"female"
1,28,8,"female"
1,28,9,"female"
1,28,12,"female"
1,28,13,"female"
1,28,15,"female"
1,28,17,"female"
1,28,20,"female"
1,28,21,"female"
1,28,23,"female"
1,28,24,"female"
1,28,26,"female"
1,28,27,"female"
1,28,29,"female"
1,29,2,"female"
1,29,4,"female"
1,29,8,"female"
1,29,9,"female"
1,29,13,"female"
1,29,17,"female"
1,29,23,"female"
1,29,24,"female"
1,29,26,"female"
1,29,27,"female"
1,29,28,"female"
